0	51	a	Six out of 10 of the highest unemployment rates are also in so-called right to work states.
1	96	a	No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle.
2	45	a	Forward an email for Jasmine
3	43	a	Pope Francis endorsed Donald Trump for president.
4	96	a	Says Ron Paul insisted FEMA should be shut down.
5	67	a	"Says Hillary Clinton has ""been in office and in government longer than anybody else running here tonight."""
6	43	a	In 1916, the U.S. government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down.
7	30	a	Statement: “In total, the City Auditor’s Office identified $7,425,271 in potential monetary recoveries and cost savings for the City, which equates to $3 in potential savings for every $1 of audit costs,” wrote Eduardo Luna, San Diego auditor, in a memorandum to City Hall’s audit committee.
8	98	a	Pray for Chad, a soldier shot in the head in Iraq
9	47	a	On privatization of Social Security.
10	51	a	Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.
11	96	a	The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.
12	51	a	"Says the United States is in ""the worst recovery from an economic recession since World War II."""
13	66	a	"A law firm working with Donald Trump was named ""Russia Law Firm of the Year."""
14	45	a	Muslims Were Banned from U.S. in 1952
15	67	a	"Van Jones ""is an avowed, self-avowed radical revolutionary communist."""
16	67	a	"McDonald's is getting rid of its ""Dollar Menu"" come 2016."
17	67	a	Bill McCollum said tax cuts don't work.
18	45	a	The 9/11 story of Robert Matthews
19	106	a	A teacher's letter home upbraids student for correcting him in class.
20	53	a	The claim: Mike Baird says other countries like the UK and Canada have lower GST thresholds for online shopping and that these thresholds can also be achieved in Australia.
21	88	a	"Will ""support an increase in the cigarette tax"" if it is proposed and passes through the legislature."
22	69	a	Says Gov. Scott Walker cut aid to local schools despite campaigning on trying to restore two-thirds state funding for education
23	51	a	Says New Hampshire had the fourth-lowest unemployment rate in the country during Maggie Hassan’s time in the state Senate.
24	67	a	"Says Bernie Sanders’ health care plan would ""empower Republican governors to take away Medicaid, to take away health insurance for low-income and middle-income working Americans."""
25	83	a	Withheld union dues fund half of Dem (Democratic) campaigns in Florida.
26	69	a	Rhode Island has the highest percentage of uninsured adults of any state in New England.
27	88	a	“And if people don't like it, we've got to have a country folks. Got to have a country. Countries in which immigration will be suspended would include places like Syria and Libya. And we are going to stop the tens of thousands of people coming in from Syria.”
28	51	a	Do you know what the second sport with the most concussions is? Women’s soccer… And the third most dangerous sport? Cheerleading.
29	0	a	Sarah Jessica Parker, Matthew Broderick Marriage “On The Rocks”?
30	43	a	"Says Doug Jones ""is for full-term abortion."""
31	3	a	Selena Gomez “So Upset” Over “13 Reasons Why” Backlash, 
32	77	a	50 False Claims, Visualized
33	69	a	For the first time in history, Wisconsin has more government jobs than manufacturing jobs.
34	29	a	Statement: “That thing which occurred at Dulles airport was a complete fraud made up by the lady in question. She never appeared in court. The court threw it out. And that was the end of that,” Bob Filner, a San Diego mayoral candidate, said on the Mike Slater radio show, Aug. 16.
35	96	a	A 2016 bill before the Kentucky legislature would have required men to get their wives' permission before obtaining a prescription for Viagra or other erectile dysfunction drug.
36	67	a	Fifteen years ago, you couldn't even get a pizza delivered in that neighborhood.
37	68	a	A List of New California Laws effective July 1
38	51	a	In an average grocery store, roughly 75 percent of processed foods contain genetically modified organisms, or GMOs.
39	45	a	15 Foot Eastern Diamondback Rattlesnake Caught in Florida
40	106	a	Centerville Elementary School in Lancaster, Pennsylvania, canceled a Christmas play because two parents complained about reference to God.
41	43	a	We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.
42	77	a	VERA FILES FACT CHECK: News of Rappler CEO Ressa as FOCAP president
43	43	a	Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.
44	43	a	Everyone with cancer has a pH that is too acidic.
45	0	a	Gwen Stefani Pregnant With Blake Shelton’s Baby Because She Was Spotted At Hospital?
46	96	a	"Says Donald Trump’s proposed tax treatment of hedge fund managers ""makes the current loophole even worse."""
47	43	a	Ordinary use of canola oil is dangerous to consumers.
48	0	a	Angelina Jolie Attending Royal Wedding, 
49	69	a	New Scottish Labour leader Richard Leonard just gave a speech demanding Scottish Water be “taken back into public ownership”. But it already is.
50	43	a	Actor Johnny Depp will be charged with conspiracy to assassinate the president and held as a terrorist enemy combatant after joking about assassinating President Trump.
51	14	a	Automation Labs Facebook Privacy Warning
52	45	a	Iranian pilot of hijacked flight 93 to be presented with Medal of Honor
53	96	a	More than one-quarter of America’s young adults are too fat to serve in the U.S. military
54	0	a	Roseanne Begging Jerry Seinfeld For ‘Career Comeback,’ 
